record,speech_level,snr,rms_noise,sample_rate,dynamic_range_db
157321_2305278-lq.mp3,4783.92738920763,0.2645648270845413,0.027706608,24000,19.73325252532959
157326_2305278-lq.mp3,4195.299024365828,0.26456382125616074,0.19093451,24000,16.146494150161743
160229_288-lq.mp3,2693.8668850357367,0.26456382125616074,0.021931872,44100,24.2496919631958
160230_288-lq.mp3,6282.672664541826,0.26456281542778015,0.019021422,44100,27.536585330963135
160231_288-lq.mp3,6608.544750743617,0.26456180959939957,0.009633195,44100,28.346335887908936
160232_288-lq.mp3,3164.4113026132673,0.26456281542778015,0.02150227,44100,22.6039981842041
160233_288-lq.mp3,1918.3616960462787,0.2645648270845413,0.031599954,44100,26.192772388458252
160234_288-lq.mp3,2028.203155850333,0.26456382125616074,0.06954091,44100,16.278175115585327
160235_288-lq.mp3,2033.3823307280063,0.26456985622644424,0.031983532,44100,21.454684734344482
160236_288-lq.mp3,6539.605251416841,0.26453670114278793,0.010932778,44100,27.27200746536255
160237_288-lq.mp3,1891.1780292502435,0.2645658329129219,0.033706296,44100,19.015026092529297
160238_288-lq.mp3,2462.5611619376905,0.2645648270845413,0.028975293,44100,19.938178062438965
160239_288-lq.mp3,2461.2531333057022,0.26456382125616074,0.015702173,44100,24.966368675231934
160240_288-lq.mp3,3207.8420041298073,0.26456382125616074,0.0116802,44100,24.340262413024902
178550_2305278-lq.mp3,1163.93852102222,0.26456985622644424,0.31153834,24000,8.950978517532349
207134_2568776-lq.mp3,1232.1196414817841,0.2645648270845413,0.044711508,44100,21.35450839996338
207135_2568776-lq.mp3,3259.163222516846,0.26456382125616074,0.026281077,48000,29.83356475830078
207136_2568776-lq.mp3,1465.960751959939,0.26456382125616074,0.095205486,44100,16.299448013305664
207137_2568776-lq.mp3,1305.6381756057167,0.2645648270845413,0.06841696,44100,21.632771492004395
207138_2568776-lq.mp3,1627.6750648022792,0.26456382125616074,0.030102925,44100,25.665462017059326
207139_2568776-lq.mp3,6228.201630224996,0.2645658329129219,0.014799185,44100,28.627960681915283
207140_2568776-lq.mp3,1902.644444908886,0.2645658329129219,0.031789914,24000,23.55586051940918
207141_2568776-lq.mp3,1867.2984927218226,0.2645648270845413,0.032043464,24000,23.661329746246338
207142_2568776-lq.mp3,2932.8386694326064,0.26457788422703743,0.011262818,44100,37.88358926773071
207143_2568776-lq.mp3,1019.7407996522085,0.2645668387413025,0.08450642,44100,13.710099458694458
207144_2568776-lq.mp3,3807.7127384212513,0.2645648270845413,0.0068101473,24000,30.161144733428955
207145_2568776-lq.mp3,6556.42110762553,0.2645648270845413,0.0056772823,44100,30.845274925231934
237770_288-lq.mp3,675.1485974640018,0.2645658329129219,0.03796059,24000,16.339536905288696
237924_4019029-lq.mp3,2957.4670831346702,0.26456180959939957,0.102673866,24000,19.206193685531616
237925_4019029-lq.mp3,2787.7877754816027,0.2645236440002918,0.2380964,24000,14.353482723236084
