rms_noise,speech_level,dynamic_range_db,label
0.027706608,4783.92738920763,19.73325252532959,0
0.19093451,4195.299024365828,16.146494150161743,0
0.021931872,2693.8668850357367,24.2496919631958,0
0.019021422,6282.672664541826,27.53658533096313,0
0.009633195,6608.544750743617,28.346335887908936,0
0.02150227,3164.4113026132677,22.6039981842041,0
0.031599954,1918.361696046279,26.19277238845825,1
0.06954091,2028.203155850333,16.278175115585327,1
0.031983532,2033.3823307280063,21.45468473434448,1
0.010932778,6539.605251416841,27.27200746536255,0
0.033706296,1891.1780292502435,19.015026092529297,1
0.028975293,2462.5611619376905,19.938178062438965,1
0.015702173,2461.2531333057022,24.966368675231934,1
0.0116802,3207.8420041298077,24.340262413024902,0
0.31153834,1163.93852102222,8.950978517532349,1
0.044711508,1232.119641481784,21.35450839996338,1
0.026281077,3259.163222516846,29.83356475830078,0
0.095205486,1465.960751959939,16.299448013305664,1
0.06841696,1305.6381756057167,21.632771492004395,1
0.030102925,1627.6750648022792,25.66546201705933,1
0.014799185,6228.201630224996,28.627960681915283,0
0.031789914,1902.644444908886,23.55586051940918,1
0.032043464,1867.2984927218224,23.661329746246334,1
0.011262818,2932.8386694326064,37.88358926773071,0
0.08450642,1019.7407996522084,13.710099458694458,1
0.0068101473,3807.7127384212513,30.161144733428955,0
0.0056772823,6556.42110762553,30.845274925231934,0
0.03796059,675.1485974640018,16.339536905288696,1
0.102673866,2957.4670831346702,19.206193685531616,0
0.2380964,2787.7877754816027,14.353482723236084,0
0.16587578,3621.17938465188,18.085817098617557,0
0.30096823,5011.098967369546,13.641480207443236,0
0.28998572,4025.1075332226415,13.928276300430298,0
0.39133835,576.2763095515824,6.603870987892151,1
0.3160199,585.2010386916511,8.439753651618958,1
0.16972356,1867.25481512444,15.454140901565552,1
0.17562543,1292.5345698292797,12.611788511276243,1
0.04124497,2928.012107207141,26.531212329864506,0
0.14215566,1521.5521493946526,13.818926811218262,1
0.021785526,2910.117995514824,27.63035774230957,0
0.04039684,2771.405495691227,28.492472171783447,0
0.06625563,5216.666185919787,17.067112922668457,0
0.09257375,2289.7039678764986,21.992833614349365,1
0.002024735,2913.5674551232246,24.50712203979492,0
0.0014152024,2487.177740927043,29.810791015625,1
0.0012986545,2924.0801125998564,20.295956134796143,0
0.004776215,1774.6467881992908,31.588256359100345,1
0.031603355,275.6683585418322,25.135657787323,1
0.0012583571,4116.236036497522,29.50516700744629,0
0.08846907,4535.243514166931,15.16310214996338,0
